Tool, Runtime
RefactoringMiner 2.0, 631
RefactoringMiner 2.0, 26
RefactoringMiner 2.0, 540
RefactoringMiner 2.0, 316
RefactoringMiner 2.0, 14
RefactoringMiner 2.0, 346
RefactoringMiner 2.0, 60
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 23
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 1368
RefactoringMiner 2.0, 43
RefactoringMiner 2.0, 14
RefactoringMiner 2.0, 40
RefactoringMiner 2.0, 45
RefactoringMiner 2.0, 10
RefactoringMiner 2.0, 22
RefactoringMiner 2.0, 2838
RefactoringMiner 2.0, 3663
RefactoringMiner 2.0, 3795
RefactoringMiner 2.0, 3044
RefactoringMiner 2.0, 2977
RefactoringMiner 2.0, 132
RefactoringMiner 2.0, 2847
RefactoringMiner 2.0, 3253
RefactoringMiner 2.0, 3017
RefactoringMiner 2.0, 3160
RefactoringMiner 2.0, 4043
RefactoringMiner 2.0, 10
RefactoringMiner 2.0, 27
RefactoringMiner 2.0, 509
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 25
RefactoringMiner 2.0, 9
RefactoringMiner 2.0, 40
RefactoringMiner 2.0, 41
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 18
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 1800
RefactoringMiner 2.0, 2359
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 16
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 25
RefactoringMiner 2.0, 13
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 6
RefactoringMiner 2.0, 631
RefactoringMiner 2.0, 34
RefactoringMiner 2.0, 6
RefactoringMiner 2.0, 13
RefactoringMiner 2.0, 19
RefactoringMiner 2.0, 12
