Tool, Runtime
RefDiff 2.0, 75
RefDiff 2.0, 112
RefDiff 2.0, 120
RefDiff 2.0, 143
RefDiff 2.0, 38
RefDiff 2.0, 60
RefDiff 2.0, 85
RefDiff 2.0, 1338
RefDiff 2.0, 80
RefDiff 2.0, 178
RefDiff 2.0, 140
RefDiff 2.0, 162
RefDiff 2.0, 37
RefDiff 2.0, 117
RefDiff 2.0, 508
RefDiff 2.0, 375
RefDiff 2.0, 230
RefDiff 2.0, 164
RefDiff 2.0, 137
RefDiff 2.0, 127
RefDiff 2.0, 1449
RefDiff 2.0, 150
RefDiff 2.0, 446
RefDiff 2.0, 35
RefDiff 2.0, 176
RefDiff 2.0, 70
RefDiff 2.0, 322
RefDiff 2.0, 53
RefDiff 2.0, 186
RefDiff 2.0, 643
RefDiff 2.0, 44
RefDiff 2.0, 255
RefDiff 2.0, 134
RefDiff 2.0, 62
RefDiff 2.0, 205
RefDiff 2.0, 143
RefDiff 2.0, 98
RefDiff 2.0, 34
RefDiff 2.0, 57
RefDiff 2.0, 570
RefDiff 2.0, 265
RefDiff 2.0, 68
RefDiff 2.0, 101
RefDiff 2.0, 349
RefDiff 2.0, 123
RefDiff 2.0, 322
RefDiff 2.0, 63
RefDiff 2.0, 92
RefDiff 2.0, 47
RefDiff 2.0, 60
RefDiff 2.0, 105
RefDiff 2.0, 67
RefDiff 2.0, 62
RefDiff 2.0, 343
RefDiff 2.0, 111
RefDiff 2.0, 58
RefDiff 2.0, 46
RefDiff 2.0, 207
RefDiff 2.0, 105
RefDiff 2.0, 70
RefDiff 2.0, 67
RefDiff 2.0, 1028
RefDiff 2.0, 37
RefDiff 2.0, 1943
RefDiff 2.0, 92
RefDiff 2.0, 120
RefDiff 2.0, 109
RefDiff 2.0, 72
RefDiff 2.0, 183
RefDiff 2.0, 757
RefDiff 2.0, 124
RefDiff 2.0, 518
RefDiff 2.0, 67
RefDiff 2.0, 44
RefDiff 2.0, 98
RefDiff 2.0, 105
RefDiff 2.0, 101
RefDiff 2.0, 109
RefDiff 2.0, 923
RefDiff 2.0, 36
RefDiff 2.0, 39
RefDiff 2.0, 165
RefDiff 2.0, 65
RefDiff 2.0, 114
RefDiff 2.0, 3752
RefDiff 2.0, 521
RefDiff 2.0, 53
RefDiff 2.0, 1264
RefDiff 2.0, 130
RefDiff 2.0, 196
RefDiff 2.0, 243
RefDiff 2.0, 51
RefDiff 2.0, 54
RefDiff 2.0, 49
RefDiff 2.0, 1858
RefDiff 2.0, 46
RefDiff 2.0, 63
RefDiff 2.0, 1059
RefDiff 2.0, 506
RefDiff 2.0, 113
RefDiff 2.0, 34
RefDiff 2.0, 1873
RefDiff 2.0, 66
RefDiff 2.0, 696
RefDiff 2.0, 175
RefDiff 2.0, 129
RefDiff 2.0, 200
RefDiff 2.0, 45
RefDiff 2.0, 74
RefDiff 2.0, 33
RefDiff 2.0, 50
RefDiff 2.0, 35
RefDiff 2.0, 49
RefDiff 2.0, 161
RefDiff 2.0, 76
RefDiff 2.0, 104
RefDiff 2.0, 216
RefDiff 2.0, 68
RefDiff 2.0, 236
RefDiff 2.0, 51
RefDiff 2.0, 1983
RefDiff 2.0, 305
RefDiff 2.0, 77
RefDiff 2.0, 87
RefDiff 2.0, 159
RefDiff 2.0, 4209
RefDiff 2.0, 4712
RefDiff 2.0, 239
RefDiff 2.0, 100
RefDiff 2.0, 586
RefDiff 2.0, 544
RefDiff 2.0, 791
